Country Code,Country,Number Type Name,AVOXI Package Name,MRC,Minutes Incuded,Extra Minutes Price,Product Name
AL,Albania,Albania Toll Free,Business Classic,89.99,0,3.104,Jetpack - ITFS - Albania - Business Classic
AL,Albania,Albania Toll Free,Business Basic,208.99,88,2.949,Jetpack - ITFS - Albania - Business Basic
AL,Albania,Albania Toll Free,Business Connect,317.99,165,2.801,Jetpack - ITFS - Albania - Business Connect
AL,Albania,Albania Toll Free,Business Standard,441.99,250,2.661,Jetpack - ITFS - Albania - Business Standard
AL,Albania,Albania Toll Free,Business Advanced,592.99,360,2.528,Jetpack - ITFS - Albania - Business Advanced
AL,Albania,Albania Toll Free,Business Premium,791.99,524,2.402,Jetpack - ITFS - Albania - Business Premium
AI,Anguilla,Anguilla Toll Free,Business Classic,16.99,0,0.33,Jetpack - ITFS - Anguilla - Business Classic
AI,Anguilla,Anguilla Toll Free,Business Basic,34.99,75,0.292,Jetpack - ITFS - Anguilla - Business Basic
AI,Anguilla,Anguilla Toll Free,Business Connect,52.99,144,0.281,Jetpack - ITFS - Anguilla - Business Connect
AI,Anguilla,Anguilla Toll Free,Business Standard,88.99,300,0.273,Jetpack - ITFS - Anguilla - Business Standard
AI,Anguilla,Anguilla Toll Free,Business Advanced,115.99,474,0.265,Jetpack - ITFS - Anguilla - Business Advanced
AI,Anguilla,Anguilla Toll Free,Business Premium,151.99,750,0.257,Jetpack - ITFS - Anguilla - Business Premium
AG,Antigua and Barbuda,Antigua Toll Free,Business Classic,16.99,0,0.31,Jetpack - ITFS - Antigua and Barbuda - Business Classic
AG,Antigua and Barbuda,Antigua Toll Free,Business Basic,31.49,75,0.292,Jetpack - ITFS - Antigua and Barbuda - Business Basic
AG,Antigua and Barbuda,Antigua Toll Free,Business Connect,52.99,144,0.281,Jetpack - ITFS - Antigua and Barbuda - Business Connect
AG,Antigua and Barbuda,Antigua Toll Free,Business Standard,88.99,300,0.273,Jetpack - ITFS - Antigua and Barbuda - Business Standard
AG,Antigua and Barbuda,Antigua Toll Free,Business Advanced,115.99,474,0.265,Jetpack - ITFS - Antigua and Barbuda - Business Advanced
AG,Antigua and Barbuda,Antigua Toll Free,Business Premium,151.99,750,0.257,Jetpack - ITFS - Antigua and Barbuda - Business Premium
AR,Argentina,Argentina Toll Free,Business Classic,16.99,0,0.214,Jetpack - ITFS - Argentina - Business Classic
AR,Argentina,Argentina Toll Free,Business Basic,25.99,104,0.2,Jetpack - ITFS - Argentina - Business Basic
AR,Argentina,Argentina Toll Free,Business Connect,43.99,215,0.179,Jetpack - ITFS - Argentina - Business Connect
AR,Argentina,Argentina Toll Free,Business Standard,79.99,469,0.171,Jetpack - ITFS - Argentina - Business Standard
AR,Argentina,Argentina Toll Free,Business Advanced,106.99,759,0.163,Jetpack - ITFS - Argentina - Business Advanced
AR,Argentina,Argentina Toll Free,Business Premium,124.99,989,0.156,Jetpack - ITFS - Argentina - Business Premium
AU,Australia,Australia Toll Free 1800,Business Classic,7.99,0,0.044,Jetpack - ITFS - Australia - Business Classic
AU,Australia,Australia Toll Free 1800,Business Basic,12.49,340,0.039,Jetpack - ITFS - Australia - Business Basic
AU,Australia,Australia Toll Free 1800,Business Connect,31.49,980,0.035,Jetpack - ITFS - Australia - Business Connect
AU,Australia,Australia Toll Free 1800,Business Standard,51.99,1700,0.034,Jetpack - ITFS - Australia - Business Standard
AU,Australia,Australia Toll Free 1800,Business Advanced,79.99,3300,0.029,Jetpack - ITFS - Australia - Business Advanced
AU,Australia,Australia Toll Free 1800,Business Premium,106.99,5000,0.027,Jetpack - ITFS - Australia - Business Premium
AT,Austria,Austria Toll Free,Business Classic,16.99,0,0.239,Jetpack - ITFS - Austria - Business Classic
AT,Austria,Austria Toll Free,Business Basic,34.99,115,0.224,Jetpack - ITFS - Austria - Business Basic
AT,Austria,Austria Toll Free,Business Connect,52.99,209,0.215,Jetpack - ITFS - Austria - Business Connect
AT,Austria,Austria Toll Free,Business Standard,88.99,430,0.207,Jetpack - ITFS - Austria - Business Standard
AT,Austria,Austria Toll Free,Business Advanced,115.99,675,0.199,Jetpack - ITFS - Austria - Business Advanced
AT,Austria,Austria Toll Free,Business Premium,151.99,1060,0.191,Jetpack - ITFS - Austria - Business Premium
BS,Bahamas,Bahamas Toll Free,Business Classic,16.99,0,0.239,Jetpack - ITFS - Bahamas - Business Classic
BS,Bahamas,Bahamas Toll Free,Business Basic,34.99,115,0.224,Jetpack - ITFS - Bahamas - Business Basic
BS,Bahamas,Bahamas Toll Free,Business Connect,52.99,209,0.215,Jetpack - ITFS - Bahamas - Business Connect
BS,Bahamas,Bahamas Toll Free,Business Standard,88.99,430,0.207,Jetpack - ITFS - Bahamas - Business Standard
BS,Bahamas,Bahamas Toll Free,Business Advanced,115.99,675,0.199,Jetpack - ITFS - Bahamas - Business Advanced
BS,Bahamas,Bahamas Toll Free,Business Premium,151.99,1060,0.191,Jetpack - ITFS - Bahamas - Business Premium
BH,Bahrain,Bahrain Toll Free,Business Classic,25.99,0,0.239,Jetpack - ITFS - Bahrain - Business Classic
BH,Bahrain,Bahrain Toll Free,Business Basic,43.99,114,0.224,Jetpack - ITFS - Bahrain - Business Basic
BH,Bahrain,Bahrain Toll Free,Business Connect,61.99,209,0.215,Jetpack - ITFS - Bahrain - Business Connect
BH,Bahrain,Bahrain Toll Free,Business Standard,97.99,429,0.207,Jetpack - ITFS - Bahrain - Business Standard
BH,Bahrain,Bahrain Toll Free,Business Advanced,124.99,542,0.199,Jetpack - ITFS - Bahrain - Business Advanced
BH,Bahrain,Bahrain Toll Free,Business Premium,160.99,1059,0.191,Jetpack - ITFS - Bahrain - Business Premium
BB,Barbados,Barbados Toll Free,Business Classic,16.99,0,0.282,Jetpack - ITFS - Barbados - Business Classic
BB,Barbados,Barbados Toll Free,Business Basic,34.99,90,0.263,Jetpack - ITFS - Barbados - Business Basic
BB,Barbados,Barbados Toll Free,Business Connect,52.99,164,0.255,Jetpack - ITFS - Barbados - Business Connect
BB,Barbados,Barbados Toll Free,Business Standard,88.99,335,0.248,Jetpack - ITFS - Barbados - Business Standard
BB,Barbados,Barbados Toll Free,Business Advanced,115.99,529,0.24,Jetpack - ITFS - Barbados - Business Advanced
BB,Barbados,Barbados Toll Free,Business Premium,151.99,839,0.233,Jetpack - ITFS - Barbados - Business Premium
BY,Belarus,Belarus Toll Free,Business Classic,21.49,0,0.606,Jetpack - ITFS - Belarus - Business Classic
BY,Belarus,Belarus Toll Free,Business Basic,43.99,44,0.566,Jetpack - ITFS - Belarus - Business Basic
BY,Belarus,Belarus Toll Free,Business Connect,61.99,84,0.55,Jetpack - ITFS - Belarus - Business Connect
BY,Belarus,Belarus Toll Free,Business Standard,106.99,180,0.534,Jetpack - ITFS - Belarus - Business Standard
BY,Belarus,Belarus Toll Free,Business Advanced,133.99,275,0.518,Jetpack - ITFS - Belarus - Business Advanced
BY,Belarus,Belarus Toll Free,Business Premium,178.99,439,0.503,Jetpack - ITFS - Belarus - Business Premium
BE,Belgium,Belgium Toll Free,Business Classic,16.99,0,0.31,Jetpack - ITFS - Belgium - Business Classic
BE,Belgium,Belgium Toll Free,Business Basic,34.99,75,0.289,Jetpack - ITFS - Belgium - Business Basic
BE,Belgium,Belgium Toll Free,Business Connect,52.99,144,0.287,Jetpack - ITFS - Belgium - Business Connect
BE,Belgium,Belgium Toll Free,Business Standard,88.99,300,0.273,Jetpack - ITFS - Belgium - Business Standard
BE,Belgium,Belgium Toll Free,Business Advanced,115.99,474,0.265,Jetpack - ITFS - Belgium - Business Advanced
BE,Belgium,Belgium Toll Free,Business Premium,151.99,750,0.257,Jetpack - ITFS - Belgium - Business Premium
BZ,Belize,Belize Toll Free,Business Classic,16.99,0,0.368,Jetpack - ITFS - Belize - Business Classic
BZ,Belize,Belize Toll Free,Business Basic,34.99,65,0.344,Jetpack - ITFS - Belize - Business Basic
BZ,Belize,Belize Toll Free,Business Connect,52.99,119,0.334,Jetpack - ITFS - Belize - Business Connect
BZ,Belize,Belize Toll Free,Business Standard,88.99,250,0.324,Jetpack - ITFS - Belize - Business Standard
BZ,Belize,Belize Toll Free,Business Advanced,115.99,389,0.314,Jetpack - ITFS - Belize - Business Advanced
BZ,Belize,Belize Toll Free,Business Premium,151.99,619,0.305,Jetpack - ITFS - Belize - Business Premium
BM,Bermuda,Bermuda Toll Free,Business Classic,12.49,0,0.116,Jetpack - ITFS - Bermuda - Business Classic
BM,Bermuda,Bermuda Toll Free,Business Basic,21.49,200,0.101,Jetpack - ITFS - Bermuda - Business Basic
BM,Bermuda,Bermuda Toll Free,Business Connect,34.99,395,0.092,Jetpack - ITFS - Bermuda - Business Connect
BM,Bermuda,Bermuda Toll Free,Business Standard,52.99,720,0.084,Jetpack - ITFS - Bermuda - Business Standard
BM,Bermuda,Bermuda Toll Free,Business Advanced,88.99,1449,0.077,Jetpack - ITFS - Bermuda - Business Advanced
BM,Bermuda,Bermuda Toll Free,Business Premium,115.99,2271,0.069,Jetpack - ITFS - Bermuda - Business Premium
BO,Bolivia,Bolivia Toll Free,Business Classic,30.49,0,0.398,Jetpack - ITFS - Bolivia - Business Classic
BO,Bolivia,Bolivia Toll Free,Business Basic,52.99,69,0.372,Jetpack - ITFS - Bolivia - Business Basic
BO,Bolivia,Bolivia Toll Free,Business Connect,75.49,135,0.361,Jetpack - ITFS - Bolivia - Business Connect
BO,Bolivia,Bolivia Toll Free,Business Standard,118.49,284,0.35,Jetpack - ITFS - Bolivia - Business Standard
BO,Bolivia,Bolivia Toll Free,Business Advanced,147.49,429,0.34,Jetpack - ITFS - Bolivia - Business Advanced
BO,Bolivia,Bolivia Toll Free,Business Premium,192.49,690,0.33,Jetpack - ITFS - Bolivia - Business Premium
